代伯之墨,A Dab of Ink
似曾相識,A Familiar Call
比死更慘的命運,A Fate Worse Than Death
謙卑請求,A Modest Request
母親的禮物,A Mother's Parting Gift
隨風飄記,A Note in the Wind
藍海,A Sea of Blue
完石,A Stone Perfected
棄財求生,Abandoned Wealth
適者生存,Acclimatisation
阿基爾的預言,Akil's Prophecy
誘惑之寶,Alluring Bounty
暗黑孤單中,Alone in the Darkness
變動感知,Altered Perception
上進執迷,Ambitious Obsession
混亂代價,Anarchy's Price
瓦爾之傲,Arrogance of the Vaal
刺客恩惠,Assassin's Favour
星際保護,Astral Protection
阿茲里的武庫,Atziri's Arsenal
膽識,Audacity
碧藍之怒,Azure Rage
艾斯尤倫的報酬,Azyran's Reward
誘餌之期待,Baited Expectations
夕陽紅顏,Beauty Through Death
珠寶,Bijoux
三者之誕,Birth of the Three
與神同行,Blessing of God
盲途,Blind Venture
正義之福,Boon of Justice
初始者的祝福,Boon of the First Ones
無盡之境,Boundless Realms
弓匠的夢想,Bowyer's Dream
不守信,Broken Promises
打破休戰,Broken Truce
流亡兄弟會,Brotherhood in Exile
伯仲財庫,Brother's Stash
畫筆、顏料和調色盤,Brush, Paint and Palette
深埋祕寶,Buried Treasure
燃燒之血,Burning Blood
先人召喚,Call to the First Ones
卡麥歷亞之割,Cameria's Cut
製圖師之喜悅,Cartographer's Delight
渾沌性情,Chaotic Disposition
冒險犯難,Chasing Risk
將軍,Checkmate
窒息內疚,Choking Guilt
昂貴古玩,Costly Curio
貓咪議會,Council of Cats
飢渴之佔,Coveted Possession
髒話,Cursed Words
漆黑夢魘,Dark Dreams
暗黑的誘惑,Dark Temptation
晦暗不明,Darker Half
致命喜悅,Deadly Joy
死亡,Death
致死記號,Deathly Designs
癡呆症,Dementophobia
昇華的賭注,Demigod's Wager
褻瀆的美德,Desecrated Virtue
絕望遠征,Desperate Crusade
殞落的命運,Destined to Crumble
達拉之訓,Dialla's Subjugation
蔑視,Disdain
神判,Divine Justice
德瑞競之狂,Doedre's Madness
多里亞尼的頓悟,Doryani's Epiphany
披夢,Draped in Dreams
